id;anbieter;kurzbeschreibung_des_angebotes;website;zeitliche_begrenzung;preis;bezirk;schlagworte;services
865;Akademie der Künste;ermäßigter Eintritt | variiert je nach Veranstaltung;https://www.adk.de;-;3 bis 6 Euro je nach Veranstaltung;Mitte;Kunst, Kultur, Museum & Ausstellung, Bildung;Work & Education
865;Akademie der Künste;ermäßigter Eintritt | variiert je nach Veranstaltung;https://www.adk.de;-;3 bis 6 Euro je nach Veranstaltung;Mitte;Kunst, Kultur, Museum & Ausstellung, Bildung;Cultural Activities & Free Time Activities
1009;ALBA Berlin;coronabedingt ist das Angebot in 2021 nicht möglich;www.albaberlin.de/spielplan;Coronabedingt für 2021 kein Angebot;-;Friedrichshain-Kreuzberg;Sport & Spiel, Familie;Sport & Health
1009;ALBA Berlin;coronabedingt ist das Angebot in 2021 nicht möglich;www.albaberlin.de/spielplan;Coronabedingt für 2021 kein Angebot;-;Friedrichshain-Kreuzberg;Sport & Spiel, Familie;Family Care & Support
895;Alice - Museum für Kinder im FEZ-Berlin;Ermäßigter Eintritt für Berlinpass-Inhaber*innen. Bitte an der Kasse melden.;www.alice-museum -fuer-kinder.fez-berlin.de;-;siehe Homepage;Treptow-Köpenick;Museum & Ausstellung, Bildung, Familie;Cultural Activities & Free Time Activities
895;Alice - Museum für Kinder im FEZ-Berlin;Ermäßigter Eintritt für Berlinpass-Inhaber*innen. Bitte an der Kasse melden.;www.alice-museum -fuer-kinder.fez-berlin.de;-;siehe Homepage;Treptow-Köpenick;Museum & Ausstellung, Bildung, Familie;Work & Education
895;Alice - Museum für Kinder im FEZ-Berlin;Ermäßigter Eintritt für Berlinpass-Inhaber*innen. Bitte an der Kasse melden.;www.alice-museum -fuer-kinder.fez-berlin.de;-;siehe Homepage;Treptow-Köpenick;Museum & Ausstellung, Bildung, Familie;Family Care & Support
454;AlliiertenMuseum;freier Eintritt;www.alliiertenmuseum.de;kostenlose Führungen zu bestimmten Terminen;freier Eintritt;Steglitz-Zehlendorf;Kultur, Museum & Ausstellung, Bildung, Geschichte, Technik;Work & Education
454;AlliiertenMuseum;freier Eintritt;www.alliiertenmuseum.de;kostenlose Führungen zu bestimmten Terminen;freier Eintritt;Steglitz-Zehlendorf;Kultur, Museum & Ausstellung, Bildung, Geschichte, Technik;Cultural Activities & Free Time Activities
625;Alte Nationalgalerie;freier Eintritt;http://www.smb.museum/smb/standorte/index.php?p=2&objID=29&n=1;-;freier Eintritt;Mitte;Kultur, Museum & Ausstellung, Bildung, Kunst;Work & Education
625;Alte Nationalgalerie;freier Eintritt;http://www.smb.museum/smb/standorte/index.php?p=2&objID=29&n=1;-;freier Eintritt;Mitte;Kultur, Museum & Ausstellung, Bildung, Kunst;Cultural Activities & Free Time Activities
661;Altes Museum;freier Eintritt;http://www.smb.museum/smb/standorte/index.php?p=2&objID=24&n=2;-;freier Eintritt;Mitte;Kultur, Museum & Ausstellung, Bildung, Kunst;Work & Education
661;Altes Museum;freier Eintritt;http://www.smb.museum/smb/standorte/index.php?p=2&objID=24&n=2;-;freier Eintritt;Mitte;Kultur, Museum & Ausstellung, Bildung, Kunst;Cultural Activities & Free Time Activities
427;Anne Frank Zentrum;ermäßigter Eintritt;http://www.annefrank.de;-;4 €uro;Mitte;Kultur, Museum & Ausstellung, Bildung, Geschichte;Work & Education
427;Anne Frank Zentrum;ermäßigter Eintritt;http://www.annefrank.de;-;4 €uro;Mitte;Kultur, Museum & Ausstellung, Bildung, Geschichte;Cultural Activities & Free Time Activities
544;Anti-Kriegs-Museum;freier Eintritt für alle Besucher*innen;www.anti-kriegs-museum.de/;-;freier Eintritt;Mitte;Kultur, Museum & Ausstellung, Bildung, Geschichte;Work & Education
544;Anti-Kriegs-Museum;freier Eintritt für alle Besucher*innen;www.anti-kriegs-museum.de/;-;freier Eintritt;Mitte;Kultur, Museum & Ausstellung, Bildung, Geschichte;Cultural Activities & Free Time Activities
319;Anti-Stalking-Projekt mit Fachbereich Cyberstalking;Kostenlose Nutzung aller Stalking-Beratungen und von Informationsveranstaltungen zu IT-Sicherheit und Stalking;www.anti-stalking-projekt.de;-;-;Friedrichshain-Kreuzberg;Kultur, Bildung, Beratung;Work & Education
106;Aquadom & SEA LIFE Berlin;Kinderpreis für Erwachsene;www.SEALIFE.de;gültig von Montag bis Freitag ab 15 Uhr;Bitte beachten Sie, dass Kinder unter 15 J. von einem Erwachsenen begleitet werden müssen.;Mitte;Familie, Museum & Ausstellung, Natur & Erholung, Bildung;Family Care & Support
106;Aquadom & SEA LIFE Berlin;Kinderpreis für Erwachsene;www.SEALIFE.de;gültig von Montag bis Freitag ab 15 Uhr;Bitte beachten Sie, dass Kinder unter 15 J. von einem Erwachsenen begleitet werden müssen.;Mitte;Familie, Museum & Ausstellung, Natur & Erholung, Bildung;Cultural Activities & Free Time Activities
106;Aquadom & SEA LIFE Berlin;Kinderpreis für Erwachsene;www.SEALIFE.de;gültig von Montag bis Freitag ab 15 Uhr;Bitte beachten Sie, dass Kinder unter 15 J. von einem Erwachsenen begleitet werden müssen.;Mitte;Familie, Museum & Ausstellung, Natur & Erholung, Bildung;Sport & Health
106;Aquadom & SEA LIFE Berlin;Kinderpreis für Erwachsene;www.SEALIFE.de;gültig von Montag bis Freitag ab 15 Uhr;Bitte beachten Sie, dass Kinder unter 15 J. von einem Erwachsenen begleitet werden müssen.;Mitte;Familie, Museum & Ausstellung, Natur & Erholung, Bildung;Work & Education
685;Archenhold-Sternwarte;Berechtigt zum Erwerb eines ermäßigten Tickets | Gilt nicht für Sonderveranstaltungen;http://www.planetarium.berlin;-;ermäßigter Eintrittspreis;Treptow-Köpenick;Kultur, Museum & Ausstellung, Familie, Wissenschaft, Technik, Bildung;Work & Education
685;Archenhold-Sternwarte;Berechtigt zum Erwerb eines ermäßigten Tickets | Gilt nicht für Sonderveranstaltungen;http://www.planetarium.berlin;-;ermäßigter Eintrittspreis;Treptow-Köpenick;Kultur, Museum & Ausstellung, Familie, Wissenschaft, Technik, Bildung;Cultural Activities & Free Time Activities
685;Archenhold-Sternwarte;Berechtigt zum Erwerb eines ermäßigten Tickets | Gilt nicht für Sonderveranstaltungen;http://www.planetarium.berlin;-;ermäßigter Eintrittspreis;Treptow-Köpenick;Kultur, Museum & Ausstellung, Familie, Wissenschaft, Technik, Bildung;Family Care & Support
526;Architekturmuseum der TU;freier Eintritt für alle Besucher*innen;www.museumsportal-berlin.de/de/museen/architekturmuseum-der-tu/;-;freier Eintritt;Charlottenburg-Wilmersdorf;Kultur, Museum & Ausstellung, Bildung, Geschichte, Architektur;Work & Education
526;Architekturmuseum der TU;freier Eintritt für alle Besucher*innen;www.museumsportal-berlin.de/de/museen/architekturmuseum-der-tu/;-;freier Eintritt;Charlottenburg-Wilmersdorf;Kultur, Museum & Ausstellung, Bildung, Geschichte, Architektur;Cultural Activities & Free Time Activities
766;Astrid-Lindgren-Bühne im FEZ-Berlin;ermäßigter Eintritt;astrid-lindgren-buehne.fez-berlin.de;je nach Programm;siehe Homepage;Treptow-Köpenick;Kultur, Theater, Familie;Work & Education
766;Astrid-Lindgren-Bühne im FEZ-Berlin;ermäßigter Eintritt;astrid-lindgren-buehne.fez-berlin.de;je nach Programm;siehe Homepage;Treptow-Köpenick;Kultur, Theater, Familie;Cultural Activities & Free Time Activities
766;Astrid-Lindgren-Bühne im FEZ-Berlin;ermäßigter Eintritt;astrid-lindgren-buehne.fez-berlin.de;je nach Programm;siehe Homepage;Treptow-Köpenick;Kultur, Theater, Familie;Family Care & Support
1096;Atelier Shoyosei, Claudia Speer;40% Ermäßigung auf Shodo - Japanische Kalligraphie Workshops;www.claudiaspeer.de;-;auf Anfrage;Steglitz-Zehlendorf;Freizeit, Kultur, Kunst;Freizeit
1096;Atelier Shoyosei, Claudia Speer;40% Ermäßigung auf Shodo - Japanische Kalligraphie Workshops;www.claudiaspeer.de;-;auf Anfrage;Steglitz-Zehlendorf;Freizeit, Kultur, Kunst;Work & Education
196;Babylon Kreuzberg;ermäßigter Eintritt;http://www.yorck.de/site/kinos/preise;-;An den Yorck-Kinokassen gilt von Montag bis Donnerstag ganztags und Freitag für alle regulären Kinovorstellungen mit Beginn bis 18 Uhr ein Preis in Höhe von 6,50 Euro (einschließlich der gültigen Überlängenzuschläge). Das Angebot ist nicht gültig an Feiertagen und in Sondervorstellungen wie Previews, Klassikübertragungen etc. In allen übrigen Vorführungen gilt weiterhin der ermäßigte Eintrittspreis.;Friedrichshain-Kreuzberg;Kino, Kultur, Familie;Cultural Activities & Free Time Activities
196;Babylon Kreuzberg;ermäßigter Eintritt;http://www.yorck.de/site/kinos/preise;-;An den Yorck-Kinokassen gilt von Montag bis Donnerstag ganztags und Freitag für alle regulären Kinovorstellungen mit Beginn bis 18 Uhr ein Preis in Höhe von 6,50 Euro (einschließlich der gültigen Überlängenzuschläge). Das Angebot ist nicht gültig an Feiertagen und in Sondervorstellungen wie Previews, Klassikübertragungen etc. In allen übrigen Vorführungen gilt weiterhin der ermäßigte Eintrittspreis.;Friedrichshain-Kreuzberg;Kino, Kultur, Familie;Work & Education
196;Babylon Kreuzberg;ermäßigter Eintritt;http://www.yorck.de/site/kinos/preise;-;An den Yorck-Kinokassen gilt von Montag bis Donnerstag ganztags und Freitag für alle regulären Kinovorstellungen mit Beginn bis 18 Uhr ein Preis in Höhe von 6,50 Euro (einschließlich der gültigen Überlängenzuschläge). Das Angebot ist nicht gültig an Feiertagen und in Sondervorstellungen wie Previews, Klassikübertragungen etc. In allen übrigen Vorführungen gilt weiterhin der ermäßigte Eintrittspreis.;Friedrichshain-Kreuzberg;Kino, Kultur, Familie;Family Care & Support
283;Bali-Kino;ermäßigter Eintritt;www.balikino-berlin.de;-;Kindervorstellung 5 Euro für Erwachsene, Abendvorstellung 6,50 Euro für Erwachsene;Steglitz-Zehlendorf;Kino, Kultur, Familie;Cultural Activities & Free Time Activities
283;Bali-Kino;ermäßigter Eintritt;www.balikino-berlin.de;-;Kindervorstellung 5 Euro für Erwachsene, Abendvorstellung 6,50 Euro für Erwachsene;Steglitz-Zehlendorf;Kino, Kultur, Familie;Work & Education
283;Bali-Kino;ermäßigter Eintritt;www.balikino-berlin.de;-;Kindervorstellung 5 Euro für Erwachsene, Abendvorstellung 6,50 Euro für Erwachsene;Steglitz-Zehlendorf;Kino, Kultur, Familie;Family Care & Support
151;Ballettschule Sabine Roth;ermäßigte Kursgebühren nach Absprache;www.ballettschule-roth.de;-;siehe Homepage;Friedrichshain-Kreuzberg;Tanz, Bildung, Kultur;Sport & Health
151;Ballettschule Sabine Roth;ermäßigte Kursgebühren nach Absprache;www.ballettschule-roth.de;-;siehe Homepage;Friedrichshain-Kreuzberg;Tanz, Bildung, Kultur;Work & Education
841;Ballhaus Naunynstraße;"""3 Euro Ticket""";http://www.ballhausnaunynstrasse.de/KARTEN.9.0.html;Aktuell geschlossen.;An der Abendkasse nach Verfügbarkeit ab 30 Minuten vor Vorstellungsbeginn, keine Reservierungen, gilt nicht für Premieren und Sonderveranstaltungen;Friedrichshain-Kreuzberg;Kultur, Theater, Konzert;Work & Education
841;Ballhaus Naunynstraße;"""3 Euro Ticket""";http://www.ballhausnaunynstrasse.de/KARTEN.9.0.html;Aktuell geschlossen.;An der Abendkasse nach Verfügbarkeit ab 30 Minuten vor Vorstellungsbeginn, keine Reservierungen, gilt nicht für Premieren und Sonderveranstaltungen;Friedrichshain-Kreuzberg;Kultur, Theater, Konzert;Cultural Activities & Free Time Activities
733;BAR JEDER VERNUNFT;ermäßigter Eintritt;http://www.bar-jeder-vernunft.de/;-;Berlinpass-Inhaber*innen zahlen an der Abendkasse den ermäßigten Eintrittspreis (ab 12,50 Euro).;Charlottenburg-Wilmersdorf;Kultur, Theater, Kabarett, Konzert;Work & Education
733;BAR JEDER VERNUNFT;ermäßigter Eintritt;http://www.bar-jeder-vernunft.de/;-;Berlinpass-Inhaber*innen zahlen an der Abendkasse den ermäßigten Eintrittspreis (ab 12,50 Euro).;Charlottenburg-Wilmersdorf;Kultur, Theater, Kabarett, Konzert;Cultural Activities & Free Time Activities
121;Berlin Dungeon;Bei Vorlage des Berlinpass erhalten Sie zwei Karten zum Preis von einer (nicht kombinierbar mit anderen Rabatten);www.theDungeons.com/Berlin;gültig von Montag bis Freitag ab 15 Uhr;Kinder bis einschließlich 14 Jahren haben nur in Begleitung Erwachsener Zutritt. Das Berlin Dungeon wird für Kinder ab 10 Jahren empfohlen. Unter 8 Jahren gewähren wir keinen Eintritt.;Mitte;Familie, Museum & Ausstellung, Kultur;Family Care & Support
121;Berlin Dungeon;Bei Vorlage des Berlinpass erhalten Sie zwei Karten zum Preis von einer (nicht kombinierbar mit anderen Rabatten);www.theDungeons.com/Berlin;gültig von Montag bis Freitag ab 15 Uhr;Kinder bis einschließlich 14 Jahren haben nur in Begleitung Erwachsener Zutritt. Das Berlin Dungeon wird für Kinder ab 10 Jahren empfohlen. Unter 8 Jahren gewähren wir keinen Eintritt.;Mitte;Familie, Museum & Ausstellung, Kultur;Cultural Activities & Free Time Activities
121;Berlin Dungeon;Bei Vorlage des Berlinpass erhalten Sie zwei Karten zum Preis von einer (nicht kombinierbar mit anderen Rabatten);www.theDungeons.com/Berlin;gültig von Montag bis Freitag ab 15 Uhr;Kinder bis einschließlich 14 Jahren haben nur in Begleitung Erwachsener Zutritt. Das Berlin Dungeon wird für Kinder ab 10 Jahren empfohlen. Unter 8 Jahren gewähren wir keinen Eintritt.;Mitte;Familie, Museum & Ausstellung, Kultur;Work & Education
1021;Berlin Recycling Volleys;"ermäßigter Eintritt in der PK 2 zu allen Heimspielen der BR Volleys im Volleyballtempel Max-Schmeling-Halle; Tickets können nach vorheriger Reservierung unter tickets@br-volleys.de am Spieltag an der Tageskasse erworben werden. Öffnung 60 Minuten vor Spielbeginn";www.berlin-recycling-volleys.de;-;5,00 €;Pankow;Sport & Spiel, Familie;Sport & Health
1021;Berlin Recycling Volleys;"ermäßigter Eintritt in der PK 2 zu allen Heimspielen der BR Volleys im Volleyballtempel Max-Schmeling-Halle; Tickets können nach vorheriger Reservierung unter tickets@br-volleys.de am Spieltag an der Tageskasse erworben werden. Öffnung 60 Minuten vor Spielbeginn";www.berlin-recycling-volleys.de;-;5,00 €;Pankow;Sport & Spiel, Familie;Family Care & Support
604;Berlin Story Bunker;Ermäßigter Eintritt. Aktuell werden keine Gruppenbesuche durchgeführt und es herrscht Maskenpflicht.;www.BerlinStory.de;täglich 10-19 Uhr, letzter Einlass 17.30 Uhr;"Dokumentation ""Hitler - wie konnte es geschehen"" ermäßigt 9,00 Euro, Berlin Story Museum & Ausstellung ermäßigt 4,50 Euro inkl. Audioguide";Kreuzberg;Kultur, Museum & Ausstellung, Bildung, Geschichte, Architektur;Work & Education
604;Berlin Story Bunker;Ermäßigter Eintritt. Aktuell werden keine Gruppenbesuche durchgeführt und es herrscht Maskenpflicht.;www.BerlinStory.de;täglich 10-19 Uhr, letzter Einlass 17.30 Uhr;"Dokumentation ""Hitler - wie konnte es geschehen"" ermäßigt 9,00 Euro, Berlin Story Museum & Ausstellung ermäßigt 4,50 Euro inkl. Audioguide";Kreuzberg;Kultur, Museum & Ausstellung, Bildung, Geschichte, Architektur;Cultural Activities & Free Time Activities
1030;Berliner Bäder-Betriebe;Ermäßigungstarife;www.berlinerbaederbetriebe.de;Hallenbäder Mo bis Fr 10 bis 20 Uhr, Sa/So, Feiertags ganztags, Freibäder täglich, Freizeitbäder täglich;abhängig vom jeweils gültigen Tarif – zwischen 2 und 8 Euro. Mehr: https://www.berlinerbaeder.de/service/preise-tarifsatzung;Berlin mehrere Orte;Sport & Spiel, Familie, Natur & Erholung;Sport & Health
1030;Berliner Bäder-Betriebe;Ermäßigungstarife;www.berlinerbaederbetriebe.de;Hallenbäder Mo bis Fr 10 bis 20 Uhr, Sa/So, Feiertags ganztags, Freibäder täglich, Freizeitbäder täglich;abhängig vom jeweils gültigen Tarif – zwischen 2 und 8 Euro. Mehr: https://www.berlinerbaeder.de/service/preise-tarifsatzung;Berlin mehrere Orte;Sport & Spiel, Familie, Natur & Erholung;Family Care & Support
883;Berliner Büchertisch;"20 % Rabatt auf gebrauchte Bücher, Schallplatten und CDs. Neubuchbestellungen und Bücher aus dem Webshop sind vom Angebot ausgeschlossen.  Kinder und Jugendliche bis 16 Jahre können bei jedem Besuch kostenlos ein Buch aus dem Bestand ""Ein KInd, ein Buch"" in unseren Läden und unserem Kinderbuchregal in Neukölln mitnehmen.";www.berliner-buechertisch.com;-;-;Friedrichshain-Kreuzberg;Literatur & Lesungen, Kultur, Bildung;Work & Education
382;Berliner Dom;Ermäßigter Eintritt für eine Dom-Besichtigung (Predigtkirchen, Kuppelblick, Dommuseum, Hohenzollerngruft). Der Kuppelumgang und Gruft (Sanierung) sind z.Zt. geschlossen.;http://www.berliner-dom.de;keine;Dom-Besichtigung: 7 Euro (das Ticket gilt für einen Erwachsenen und bis zu drei Kindern unter 18 Jahren);Mitte;Kultur, Konzert, Familie, Geschichte, Kunst;Work & Education
382;Berliner Dom;Ermäßigter Eintritt für eine Dom-Besichtigung (Predigtkirchen, Kuppelblick, Dommuseum, Hohenzollerngruft). Der Kuppelumgang und Gruft (Sanierung) sind z.Zt. geschlossen.;http://www.berliner-dom.de;keine;Dom-Besichtigung: 7 Euro (das Ticket gilt für einen Erwachsenen und bis zu drei Kindern unter 18 Jahren);Mitte;Kultur, Konzert, Familie, Geschichte, Kunst;Cultural Activities & Free Time Activities
382;Berliner Dom;Ermäßigter Eintritt für eine Dom-Besichtigung (Predigtkirchen, Kuppelblick, Dommuseum, Hohenzollerngruft). Der Kuppelumgang und Gruft (Sanierung) sind z.Zt. geschlossen.;http://www.berliner-dom.de;keine;Dom-Besichtigung: 7 Euro (das Ticket gilt für einen Erwachsenen und bis zu drei Kindern unter 18 Jahren);Mitte;Kultur, Konzert, Familie, Geschichte, Kunst;Family Care & Support
796;Berliner Ensemble GmbH;"""3 Euro Ticket""";www.berliner-ensemble.de;Für Vorstellungen am Montag, Dienstag, Mittwoch und Sonntag gibt es ein begrenztes Kontingent im Vorverkauf und an der Abendkasse, 1 Stundevor Beginn der Vorstellung, nach Verfügbarkeit. Ausgenommen sind Feiertage, Premieren, Gastspiele und Sonderveranstaltungen.;3 Euro;Mitte;Kultur, Theater;Work & Education
796;Berliner Ensemble GmbH;"""3 Euro Ticket""";www.berliner-ensemble.de;Für Vorstellungen am Montag, Dienstag, Mittwoch und Sonntag gibt es ein begrenztes Kontingent im Vorverkauf und an der Abendkasse, 1 Stundevor Beginn der Vorstellung, nach Verfügbarkeit. Ausgenommen sind Feiertage, Premieren, Gastspiele und Sonderveranstaltungen.;3 Euro;Mitte;Kultur, Theater;Cultural Activities & Free Time Activities
391;Berliner Festspiele;Die Berliner Festspiele stehen für ein Kulturprogramm, das Neues sichtbar macht. Ganzjährig realisieren die Berliner Festspiele eine Vielzahl von Festivals, Ausstellungen und Einzelveranstaltungen.;www.berlinerfestspiele.de;Als Inhaber*in des berlinpasses können Sie je nach Verfügbarkeit ein ermäßigtes Ticket für 3 Euro an der Abendkasse der jeweiligen Veranstaltung kaufen. Bitte zeigen Sie beim Kauf den entsprechenden Ausweis vor. Ausgenommen davon sind Sonder- und Gastveranstaltungen.;3 Euro;Berlin mehrere Orte;Kultur, Konzert, Theater;Work & Education
391;Berliner Festspiele;Die Berliner Festspiele stehen für ein Kulturprogramm, das Neues sichtbar macht. Ganzjährig realisieren die Berliner Festspiele eine Vielzahl von Festivals, Ausstellungen und Einzelveranstaltungen.;www.berlinerfestspiele.de;Als Inhaber*in des berlinpasses können Sie je nach Verfügbarkeit ein ermäßigtes Ticket für 3 Euro an der Abendkasse der jeweiligen Veranstaltung kaufen. Bitte zeigen Sie beim Kauf den entsprechenden Ausweis vor. Ausgenommen davon sind Sonder- und Gastveranstaltungen.;3 Euro;Berlin mehrere Orte;Kultur, Konzert, Theater;Cultural Activities & Free Time Activities
379;Berliner Festspiele | Immersion;Die Programmreihe Immersion präsentiert wegweisende künstlerische Positionen, die das klassisch gewordene Schema der Gegenüberstellung von Werk und Besucher*in, Bühne und Saal, Objekt und Betrachter*in auflösen. „Go in instead of look at“!;http://www.berlinerfestspiele.de/immersion;Als Inhaber*in des berlinpasses können Sie je nach Verfügbarkeit ein ermäßigtes Ticket für 3 Euro an der Abendkasse der jeweiligen Veranstaltung kaufen. Bitte zeigen Sie beim Kauf den entsprechenden Ausweis vor. Ausgenommen davon sind Sonder- und Gastveranstaltungen.;3 Euro;Berlin mehrere Orte;Kultur, Konzert, Museum & Ausstellung;Work & Education
379;Berliner Festspiele | Immersion;Die Programmreihe Immersion präsentiert wegweisende künstlerische Positionen, die das klassisch gewordene Schema der Gegenüberstellung von Werk und Besucher*in, Bühne und Saal, Objekt und Betrachter*in auflösen. „Go in instead of look at“!;http://www.berlinerfestspiele.de/immersion;Als Inhaber*in des berlinpasses können Sie je nach Verfügbarkeit ein ermäßigtes Ticket für 3 Euro an der Abendkasse der jeweiligen Veranstaltung kaufen. Bitte zeigen Sie beim Kauf den entsprechenden Ausweis vor. Ausgenommen davon sind Sonder- und Gastveranstaltungen.;3 Euro;Berlin mehrere Orte;Kultur, Konzert, Museum & Ausstellung;Cultural Activities & Free Time Activities
364;Berliner Festspiele | Jazzfest Berlin;Rund um stilbildende Ikonen des Jazz wie auch junge Positionen aus verschiedensten Stilrichtungen entwirft das Jazzfest Berlin ein Festivalprogramm voller kreativer Grenzgänge und kollektiver Visionen.;http://www.berlinerfestspiele.de/jazzfest;Als Inhaber*in des berlinpasses können Sie je nach Verfügbarkeit ein ermäßigtes Ticket für 3 Euro an der Abendkasse der jeweiligen Veranstaltung kaufen. Bitte zeigen Sie beim Kauf den entsprechenden Ausweis vor. Ausgenommen davon sind Sonder- und Gastveranstaltungen.;3 Euro;Berlin mehrere Orte;Kultur, Konzert;Work & Education
364;Berliner Festspiele | Jazzfest Berlin;Rund um stilbildende Ikonen des Jazz wie auch junge Positionen aus verschiedensten Stilrichtungen entwirft das Jazzfest Berlin ein Festivalprogramm voller kreativer Grenzgänge und kollektiver Visionen.;http://www.berlinerfestspiele.de/jazzfest;Als Inhaber*in des berlinpasses können Sie je nach Verfügbarkeit ein ermäßigtes Ticket für 3 Euro an der Abendkasse der jeweiligen Veranstaltung kaufen. Bitte zeigen Sie beim Kauf den entsprechenden Ausweis vor. Ausgenommen davon sind Sonder- und Gastveranstaltungen.;3 Euro;Berlin mehrere Orte;Kultur, Konzert;Cultural Activities & Free Time Activities
358;Berliner Festspiele | MaerzMusik – Festival für Zeitfragen;MaerzMusik – Festival für Zeitfragen findet jährlich im März statt. Das Festival versteht sich als Ort für künstlerische Erfahrungen, für Begegnungen und das gemeinsame Nachdenken über unseren Umgang mit Zeit. Entwickelt aus der Perspektive des Hörens und getragen von der Musik der Gegenwart.;http://www.berlinerfestspiele.de/maerzmusik;Als Inhaber*in des berlinpasses können Sie je nach Verfügbarkeit ein ermäßigtes Ticket für 3 Euro an der Abendkasse der jeweiligen Veranstaltung kaufen. Bitte zeigen Sie beim Kauf den entsprechenden Ausweis vor. Ausgenommen davon sind Sonder- und Gastveranstaltungen.;3 Euro;Berlin mehrere Orte;Kultur, Konzert;Work & Education
